relName,bug,index
lens-client/src/main/java/org/apache/lens/client/LensClient.java,0,97
lens-cube/src/main/java/org/apache/lens/cube/metadata/FactPartition.java,1,157
lens-cube/src/main/java/org/apache/lens/cube/parse/BetweenTimeRangeWriter.java,1,191
lens-cube/src/main/java/org/apache/lens/cube/parse/CandidateTable.java,0,194
lens-cube/src/main/java/org/apache/lens/cube/parse/CandidateTableResolver.java,1,196
lens-cube/src/main/java/org/apache/lens/cube/parse/CubeQueryConfUtil.java,1,201
lens-cube/src/main/java/org/apache/lens/cube/parse/CubeQueryContext.java,1,202
lens-cube/src/main/java/org/apache/lens/cube/parse/DenormalizationResolver.java,1,207
lens-cube/src/main/java/org/apache/lens/cube/parse/ExpressionResolver.java,1,210
lens-cube/src/main/java/org/apache/lens/cube/query/cost/FactPartitionBasedQueryCostCalculator.java,1,241
lens-driver-jdbc/src/main/java/org/apache/lens/driver/jdbc/JDBCDriver.java,1,275
lens-driver-jdbc/src/main/java/org/apache/lens/driver/jdbc/JDBCDriverConfConstants.java,1,276
lens-server/src/main/java/org/apache/lens/server/BaseLensService.java,0,361
lens-server-api/src/main/java/org/apache/lens/server/api/query/DriverSelectorQueryContext.java,0,425
lens-server/src/main/java/org/apache/lens/server/metastore/JAXBUtils.java,1,498
lens-server/src/main/java/org/apache/lens/server/query/QueryExecutionServiceImpl.java,0,514
lens-server/src/main/java/org/apache/lens/server/query/collect/DefaultEstimatedQueryCollection.java,0,520
lens-server/src/main/java/org/apache/lens/server/util/UtilityMethods.java,0,579
